Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.4340053	1.5107944	1.2434388	-3.4559216	1000.0	0.11793837	0.10622017	0.2972451	-0.12459786	25001	2.1125425e-08	0.14860591	0.047040682	-0.10989927	0.9189398	0.07897389	0.5778169	1.0	102.17232084274292
1	-1.196631	1.1296536	0.49706283	-3.995043	1000.0	-0.05758434	0.25776577	0.8048702	-0.83340436	50002	-2.492343e-09	0.18487209	0.035786025	-0.14558762	0.91893816	0.05040341	0.5197792	1.0	199.307790517807
2	-1.4555829	0.9711944	1.0026196	-3.170246	1000.0	-0.12344833	0.19309974	0.4997367	-1.383196	75003	3.0979765e-09	0.10468008	0.005679743	-0.05621487	0.9187199	0.017451042	0.23631054	3.0	302.7998192310333
3	-1.1931435	1.3312573	0.37181115	-4.405695	1000.0	-0.24139313	0.36558765	0.5614915	-2.127074	100004	-1.4715798e-08	0.10790443	-0.011043729	-0.062957436	0.91859156	0.006742064	0.08111676	79.0	412.6323518753052
4	-0.85530174	0.9898213	0.78762096	-2.6552634	1000.0	-0.16157216	0.3507858	0.8060751	-1.5681294	125005	-1.4107855e-09	0.07935576	0.0020869565	-0.045874603	0.91241485	0.015374627	0.22079116	2.0	509.15898513793945
5	-0.04133342	0.84808993	1.105749	-2.6532164	1000.0	-0.036239643	0.2699615	0.64136785	-1.4511094	150006	6.4191634e-09	0.056087088	-0.012529141	-0.033680998	0.91256434	0.009868461	0.11043558	79.0	612.2995524406433
6	-0.2553447	1.2334815	1.2457353	-3.5897396	1000.0	-0.037891917	0.13924396	0.31621206	-0.9298461	175007	2.452931e-09	0.05387371	-0.012164211	-0.021710616	0.90062016	0.008827035	0.092636295	79.0	718.4714634418488
7	0.13750431	0.909475	1.7035913	-1.9454868	1000.0	-0.054308627	0.2469767	0.34367895	-1.4593052	200008	-1.5906503e-08	0.07829434	-0.011453383	-0.052774012	0.8984147	0.0064458554	0.09223631	79.0	822.3572473526001
8	0.17048591	1.3437032	1.6620136	-4.1966624	1000.0	0.0073667234	0.14859605	0.41000944	-0.9628103	225009	1.1302973e-08	0.048880447	0.009337964	-0.028002653	0.89325637	0.01962455	0.2945882	6.0	917.6805672645569
9	0.29773006	1.0488393	1.8751061	-3.6332731	1000.0	0.071471855	0.20356467	0.70138735	-1.1980708	250010	9.166827e-09	0.041984174	0.007745687	-0.028637938	0.8929165	0.021548659	0.32762688	1.0	1003.690354347229
